event_id,event_name,event_date,start_time,day_of_week,venue_capacity,is_weekend,is_holiday,category_name,attendance_count,weather_condition,temperature,precipitation
1,AI Workshop,2025-07-20,10:00,Monday,150,0,0,Technical,128,Light Rain,26.45,12.3
2,Hackathon,2025-07-26,09:00,Sunday,300,1,0,Technical,285,Moderate Rain,26.75,17.4
3,Music Fest,2025-08-02,18:00,Sunday,500,1,0,Cultural,462,Heavy Drizzle,26.700000000000003,8.7
4,Football Tournament,2025-08-08,16:00,Saturday,250,1,0,Sports,183,Moderate Drizzle,26.950000000000003,2.9
5,Career Seminar,2025-08-12,11:00,Wednesday,180,0,0,Seminar,149,Moderate Drizzle,26.75,5.0
6,AI Workshop,2026-07-20,10:00,Monday,150,0,0,Technical,128,Sunny,,
7,Hackathon,2026-07-26,09:00,Sunday,300,1,0,Technical,285,Cloudy,,
8,Music Fest,2026-08-02,18:00,Sunday,500,1,0,Cultural,462,Clear,,
9,Football Tournament,2026-08-08,16:00,Saturday,250,1,0,Sports,183,Rainy,,
10,Career Seminar,2026-08-12,11:00,Wednesday,180,0,0,Seminar,149,Sunny,,
11,AI Workshop,2026-07-20,10:00,Monday,150,0,0,Technical,128,Sunny,,
12,Hackathon,2026-07-26,09:00,Sunday,300,1,0,Technical,285,Cloudy,,
13,Music Fest,2026-08-02,18:00,Sunday,500,1,0,Cultural,462,Clear,,
14,Football Tournament,2026-08-08,16:00,Saturday,250,1,0,Sports,183,Rainy,,
15,Career Seminar,2026-08-12,11:00,Wednesday,180,0,0,Seminar,149,Sunny,,
